PARNAZ;PARNIDK;VYSNAZORI;VYSDRUKOD;DRUHODKOD;VYSBOD;VYSKBO;VYSPDL;VYSPDLBOD;VYSPDLKBO;VYSIDKPER;VYSNIDK;VYSWEBURL;DOKNAZPRI;CR_OBRKOD;RVVOBRSKUK;DUVHODPOP;VYSAUTGARJ;AUTSEZDOM;VYSNAVSEZ;VYRROZKODN;VYSROKUPLK
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;A Two-Factor Model for PD and LGD Correlation;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31110/11:00036690!RIV12-GA0-31110___;xDmMdaAI16U9QqsqieD8J7m1bes=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00036690!RIV12-GA0-31110___;Bulletin of the Czech Econometric Society;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Witzany, Ji¯Ì;Witzany, Ji¯Ì;P(GA402/09/0380), P(GA402/09/0732);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;AAC Limited: Entrepreneurial team dynamics;C;BC;40,00;43,20;0,01;0,41;0,44;RIV/61384399:31130/11:00037440!RIV12-MSM-31130___;!hoAcduKjFjsCbtq.7GzHJuj9+0=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00037440!RIV12-MSM-31130___;Entrepreneurship. Perspectives and cases;AE;1;kniha v oborech I. kategorie (obory NRRE);Jaroöov·, Eva;Jaroöov·, Eva;Z(MSM6138439905);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;Acceptability of the Regional Tourism Development Strategies;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31160/11:00038715!RIV12-MSM-31160___;kZ6yRcyF+k3RJvttMJCAoC+WSgc=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F11%3A00038715!RIV12-MSM-31160___;New Economic Challenges: 3rd International PhD Students Conference;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Luötick˝, Martin;Luötick˝, Martin;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Accounting for Accountability - Czech or IPSAS way?;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/11:00038028!RIV12-MSM-31110___;qbx3Eau9TjIeJmLKqMZ-IJnQBp4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00038028!RIV12-MSM-31110___;Mezin·rodnÌ Baùova konference pro doktorandy a mladÈ vÏdeckÈ pracovnÌky - 7. roËnÌk;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Svoboda, Michal;Svoboda, Michal;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Accounting Harmonization Measurement: Case of Emerging CEE Countries;J;Jneimp;12,00;12,96;0,29;3,43;3,70;RIV/61384399:31130/11:00036936!RIV12-GA0-31130___;W424vs+yekJ!d5HzEYjftHIvI8Y=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00036936!RIV12-GA0-31130___;International Journal of Mathematical Models and Methods in Applied Science;AH;1;J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze SCOPUS, ISSN tiötÏnÈ podoby;Strouhal, Ji¯Ì;Strouhal, Ji¯Ì;P(GAP403/11/0002);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Accounting Policies of Companies Reporting According to IFRS;J;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/11:00036717!RIV12-MSM-31110___;LFJE!aS7qy-kESb1CEvmEEiMHBw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00036717!RIV12-MSM-31110___;Journal of Modern Accounting and Auditing;AE;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;Krupov·, Lenka;"Krupov·, Lenka; RoubÌËkov·, Jaroslava";Z(MSM6138439903);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Accounting Principles versus Taxation: How Behaves Czech SMEs? (On Case of Impairment Issues);D;neu;0,00;0,00;0,25;0,00;0,00;RIV/61384399:31110/11:00037620!RIV12-GA0-31110___;xmgyhQ1B+DA7KrfZ!gdAxfzgNvw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00037620!RIV12-GA0-31110___;Recent Researches in Economics and Managemet Transformation;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Strouhal, J.;M¸llerov·, Libuöe;P(GA402/09/0225), P(GAP403/11/0002);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Accounting Principles versus Taxation: How Behaves Czech SMEs? (On Case of Impairment Issues);D;neu;0,00;0,00;0,25;0,00;0,00;RIV/61384399:31130/11:00037620!RIV12-GA0-31130___;xmgyhQ1B+DA7KrfZ!gdAxfzgNvw=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00037620!RIV12-GA0-31130___;Recent Researches in Economics and Managemet Transformation;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Strouhal, Ji¯Ì;Strouhal, Ji¯Ì;P(GA402/09/0225), P(GAP403/11/0002);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Accounting System and Financial Performance Measurement;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31110/11:00038264!RIV12-MSM-31110___;gd8yjs6w6TzRCxAit2Gp8okP3H8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00038264!RIV12-MSM-31110___;European Financial and Accounting Journal;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";HalÌ¯, ZbynÏk;HalÌ¯, ZbynÏk;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Activity Based Costing jako cesta k zefektivnÏnÌ ve¯ejn˝ch financÌ;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31110/11:00038060!RIV12-MSM-31110___;dKCXknzVWMzn6DM!adFR51isfDU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00038060!RIV12-MSM-31110___;»esk˝ finanËnÌ a ˙ËetnÌ Ëasopis;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Hammer, Ji¯Ì;Hammer, Ji¯Ì;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Addition of Spironolactome in Patients With Resistant Arterial Hypertension (ASPIRANT): A Randomized, Double-Blind, Placebo-Controlled Trial;J;neu;0,00;0,00;0,18;0,00;0,00;RIV/61384399:31140/11:00036648!RIV12-MSM-31140___;TPCV2UVWthf+49J9-Xiend5nTdI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00036648!RIV12-MSM-31140___;Hypertension;BB;3;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;V·clavÌk, Tom·ö;V·clavÌk, Tom·ö;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;The Administrative Legal and Financial Management of Projects in 7th Framework Programme. An Overview of the Rules and Principles & Czech Experience;B;BC;40,00;43,20;0,50;20,00;21,60;RIV/61384399:31120/11:00037879!RIV12-MSM-31120___;C4s4r8m7pLehQUg++k2KASxcdRI=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00037879!RIV12-MSM-31120___;The Administrative Legal and Financial Management of Projects in 7th Framework Programme. An Overview of the Rules and Principles & Czech Experience;AE;1;kniha v oborech I. kategorie (obory NRRE);Chvojkov·, Lenka;Chvojkov·, Lenka;I;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Adult Education Survey as a Useful Additional Data Source for Human Capital Analyses and Prognoses;D;D;8,00;8,64;1,00;8,00;8,64;RIV/61384399:31140/11:00036843!RIV12-MSM-31140___;PT3Da0!gPaC8N51AkbqRoaoWTLs=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00036843!RIV12-MSM-31140___;Effiency and Responsibility in Education;AO;1;Ël·nek ve sbornÌku evidovanÈm v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters (dohled·no podle ISBN);Mazouch, Petr;"Mazouch, Petr; Fischer, Jakub";P(2D06026), Z(MSM6138439910);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Africa: Situation of Economy;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31120/11:00037489!RIV12-MSM-31120___;61cwIqRKP6Bo-ZH5z+ZQdDXPkWc=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00037489!RIV12-MSM-31120___;Agricultura tropica et subtropica;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";JenÌËek, VladimÌr;JenÌËek, VladimÌr;Z(MSM6138439909);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;After Graduate Education for Enterprise Architects;D;D;8,00;8,64;1,00;8,00;8,64;RIV/61384399:31140/11:00037361!RIV12-GA0-31140___;gQxs7.R7f7cHSFS!UKDsXDTVvXg=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037361!RIV12-GA0-31140___;IDIMT-2011;AE;1;Ël·nek ve sbornÌku evidovanÈm v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters (dohled·no podle ISBN);G·la, Libor;"G·la, Libor; Jandoö, Jaroslav";P(GAP403/10/0303);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Age structure in historical populations - mathematical and statistical approach;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/11:00037459!RIV12-MSM-31140___;RdPb1G3hskIpQrAbZfpDDIdNDB4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037459!RIV12-MSM-31140___;Aplimat 2011;AO;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;KaËerov·, Eva;"KaËerov·, Eva; Henzler, Ji¯Ì";S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;Agenda 2010: hlavnÌ zmÏny na nÏmeckÈm trhu pr·ce v prvnÌ dek·dÏ 21. stoletÌ;J;Jrec;4,00;4,32;1,00;4,00;4,32;RIV/61384399:31150/11:00037905!RIV12-MSM-31150___;aIgbeG4ExSNtV+dLcW8utxvgZNU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F11%3A00037905!RIV12-MSM-31150___;Scientia et Societas;AH;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Noh·l, Martin;Noh·l, Martin;I;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;AgenturnÌ zamÏstn·v·nÌ: cesta k flexibilitÏ na ËeskÈm trhu pr·ce;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31150/11:00037906!RIV12-MSM-31150___;xCcjchuL+ybppwReKBCY2JrIq2c=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F11%3A00037906!RIV12-MSM-31150___;V˝chodisk· a v˝zvy pre soci·lnu politiku v nast·vaj˙com desaùroËÌ;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Noh·l, Martin;Noh·l, Martin;I;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;AktÈrstvÌ EU v boji proti som·lskÈmu pir·tstvÌ;J;Jrec;10,00;10,80;1,00;10,00;10,80;RIV/61384399:31120/11:00038494!RIV12-MSM-31120___;.bM8NSfgPuyNCzmwRdVoSPgPvxQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00038494!RIV12-MSM-31120___;Mezin·rodnÌ vztahy;AD;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";äimon, Ond¯ej;äimon, Ond¯ej;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Aktu·lnÌ rozsudky SoudnÌho dvora EvropskÈ unie v oblasti zad·v·nÌ ve¯ejn˝ch zak·zek;J;Jrec;10,00;10,80;1,00;10,00;10,80;RIV/61384399:31120/11:00037328!RIV12-MSM-31120___;ufios9BQFjQznC5VNUmaAtg4+98=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00037328!RIV12-MSM-31120___;Ve¯ejnÈ zak·zky a PPP projekty;AG;1;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";äandor, Matej;äandor, Matej;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;Aktu·lnÌ v˝zvy marketingu a jejich implikace pro Ëeskou akademickou sfÈru;J;neu;0,00;0,00;0,33;0,00;0,00;RIV/61384399:31120/11:00038501!RIV12-MSM-31120___;uynbsDgEFdgxg+HPrCCey5NZZss=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00038501!RIV12-MSM-31120___;Ekonomika a management;AE;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;KarlÌËek, M.;Postler, Milan;Z(MSM6138439905);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;Aktu·lnÌ v˝zvy marketingu a jejich implikace pro Ëeskou akademickou sfÈru;J;neu;0,00;0,00;0,67;0,00;0,00;RIV/61384399:31130/11:00038501!RIV12-MSM-31130___;uynbsDgEFdgxg+HPrCCey5NZZss=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00038501!RIV12-MSM-31130___;Ekonomika a management;AE;1;»l·nek v Ëasopise m· ISSN, ale to nespad· do û·dnÈ bodovanÈ kategorie.;KarlÌËek, Miroslav;"KarlÌËek, Miroslav; Chytkov·, Zuzana";Z(MSM6138439905);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;AlbÌn Br·f a Josef Macek: dva p¯Ìstupy k etick˝m a soci·lnÌm ot·zk·m;C;BC;40,00;43,20;0,07;2,68;2,89;RIV/61384399:31130/11:00037446!RIV12-MSM-31130___;3isGxBWq8CLbLRtmi1ESLhoKbHA=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00037446!RIV12-MSM-31130___;UËÌme ekonomii 90 let;AE;1;kniha v oborech I. kategorie (obory NRRE);Dûb·nkov·, Zuzana;Dûb·nkov·, Zuzana;Z(MSM6138439905);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;Alfred Sch¸tz - od Husserla k RakouskÈ ekonomii;J;Jrec;10,00;11,08;1,00;10,00;11,08;RIV/61384399:31150/11:00037929!RIV12-MSM-31150___;TKAA4!jLyUcopgfAhmnCc3-KuaQ=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F11%3A00037929!RIV12-MSM-31150___;E-logos;AA;10;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", I. kategorie (obory NRRE)";äpeci·n, Petr;äpeci·n, Petr;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta financÌ a ˙ËetnictvÌ;orjk:31110;Alokace n·klad˘ vybran˝ch ˙ËetnÌch jednotek ve ve¯ejnÈm sektoru-dopad na jejich hlavnÌ a hospod·¯skou Ëinnost;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31110/11:00037876!RIV12-MSM-31110___;q639i4qGF7nI+DcEIELJf0E-TrE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31110%2F11%3A00037876!RIV12-MSM-31110___;V˝vojovÈ trendy v ˙ËetnictvÌ a danÌch v kontextu vÏdy, v˝uky a praxe;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;H·lek, Miroslav;H·lek, Miroslav;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;Alternative Approach to the Analysis of Multidimensional Contingency Tables;J;Jrec;4,00;4,04;1,00;4,00;4,04;RIV/61384399:31140/11:00038317!RIV12-MSM-31140___;iGRMUcSr2rYM7Y9fh2f95ZS!s34=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00038317!RIV12-MSM-31140___;Statistika;BB;3;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Pec·kov·, Iva;Pec·kov·, Iva;Z(MSM6138439910);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;AlternativnÌ modely produkce v ekonomickÈ teorii;J;Jrec;4,00;4,04;1,00;4,00;4,04;RIV/61384399:31140/11:00037961!RIV12-GA0-31140___;DYvD-jHXsG7DgZavhXZ1QBdA8tk=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037961!RIV12-GA0-31140___;Acta Oeconomica Pragensia;BB;3;"J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze ""Seznam recenzovan˝ch periodik"", II. kategorie (ostatnÌ obory)";Dlouh˝, Martin;Dlouh˝, Martin;P(GA402/09/0231);0;2011
